Number of processes (n),Average Execution Time
,
2,0.238129377
,
3,0.222507954
,
4,0.2377069
,
5,0.268439293
,
6,0.237033606
,
7,0.221380234
,
8,0.219558001
,
9,0.268405676
,
10,0.241018057
,
11,0.220946789
,
12,0.222332478
,
13,0.268255949
,
14,0.22247839
,
15,0.225010633
,
16,0.217570782
,
17,0.220279694
,
18,0.237352848
,
19,0.221240044
,
20,0.221573353
,
21,0.206411839
,
22,0.20533371
,
23,0.221756697
,
24,0.205182791
,
25,0.205484867
,
26,0.206121206
,
27,0.209334373
,
28,0.221965075
,
29,0.221611023
,
30,0.21246767
,
31,0.2205019
,
32,0.219426155
,
33,0.205242157
,
34,0.207763672
,
35,0.214761496
,
36,0.222909451
,
37,0.227584362
,
38,0.216850758
,
39,0.238021374
,
40,0.236092806
,
41,0.221820116
,
42,0.222029924
,
43,0.207386971
,
44,0.218038082
,
45,0.237049341
,
46,0.245540619
,
47,0.232609272
,
48,0.22309494
,
49,0.221221447
,
50,0.23741889
